Decal_Recipient,Closed_Moved,Location,Year,Category,SubminusCategory
AMC Showplace 11,,1351 S College Mall Rd,1996,Entertainment Venue,Cinema
American Eagle Outfitters,,College Mall,1996,Retail,Clothing
Andrew Davis Mens Wear,,101 W Kirkwood Ave,2011,Retail,
Applebees Neighborhood Grill and Bar,,College Mall,1996,Restaurant/Bar,American
Arbys,,535 S Walnut St,,2010,Restaurant/Bar,Fast Food
Argentum Jewelry,,205 N College Ave # 100,2009,Retail,
Armed Forces Career Center,,409 W Patterson Dr #201,2010,Government Facility,
Avers Pizza,,1285 S. College Mall Rd.,2017,Resturant,Pizza
Barnes & Noble Booksellers,,2813 E 3rd St,1996,Retail,
Best Buy,,2721 E 3Rd St,2009,Retail,Electronics
Bicycle Garage Inc.,,507 E Kirkwood Ave,1993,Retail,
Big Red Liquors, North College,,1110 N College Ave,2009,Retail,
Bikesmiths Bicycle Shop,,112 S College Ave,2009,Retail,
Blacks Mercantile,,221 N Walnut St,2015,Grocery/Specialty Foods,Convenience
BloomBank,,1301 N Walnut Street,2009,Bank,
BloomBank West,,2111 Liberty Dr,2009,Bank,
Bloomingfoods,,Near West Side/316 W 6th St,2011,Grocery/Specialty Foods,
Bloomingfoods,,Elm Heights/614 E 2nd St,2014,Grocery/Specialty Foods,
Bloomingfoods,,Ivy Tech/200 Daniels Way,2014,Grocery/Specialty Foods,
Bloomington Bagel Company,,238 N Morton St,2012,Restaurant/Bar,Breakfast/Lunch
Bloomington Hardware,,2700 E Covenanter Dr,2009,Retail,
Bloomington Housing Authority,,1007 N Summitt St,2015,Nonprofit,
Bloomington Monroe County Convention Center,,302 S College Ave,2010,Entertainment Venue,
Bloomington Transit,,130 W Grimes Ln,2012,Transportation,
Bloomington Transit Downtown Transportation Center,,133 W Grimes St/Downtown Transportation Center,2014,Transportation,
Bloomington Veterinary Hospital,,115 N Smith Rd,1996,Professional Office,Pet Services
Brian Werth Financial Services,,820 W 17th St,2010,Professional Office,
Briar & The Burley ,,Fountain Square Mall,2011,Retail,Mens Luxury Goods
B-town Diner,,211 N Walnut St,,2015,Restaurant/Bar,American
Bubs Burgers,,480 N Morton S,2015,Restaurant/Bar,American
Buccetos Smiling Teeth East,,115 IN 46/E 3rd St,2009,Restaurant/Bar,Italian
Buccetos Smiling Teeth West,,350 S Liberty Dr,2009,Restaurant/Bar,Italian
Burger King,,2800 E Buick Cadillac Dr,2010,Restaurant/Bar,Fast Food
Burger King,,2498 S Walnut St,2012,Restaurant/Bar,Fast Food
Buskirk Chumley Theater,,114 E. Kirkwood Ave,2017,Theater,
C3,,1505 S Piazza Dr,,2015,Restaurant/Bar,Bar/Caf
Campus View Child Care,,800 N Union St # 9,2010,Daycare/Childcare,
Casa Brava Restaurante West,,3482 W 3rd St,2010,Restaurant/Bar,Mexican
Cheddars,,126 S Franklin Rd,2015,Restaurant/Bar,American
Chick-fil-A,,3020 E 3rd St,2014,Restaurant/Bar,Fast Food
Chicos,,102 N. Walnut St,2017,Retail,Womens clothing
Chilis Grill and Bar,,2811 E 3rd St,1996,Restaurant/Bar,American
China Buffet,,2616 E 3rd St,1996,Restaurant/Bar,Chinese
City of Bloomington Animal Shelter,,3410 S Walnut St,2012,Government Facility,
City of Bloomington Utilities building,,600 E. Miller Dr.,2017,Government Facility,
Covenanter Properties,,3101 E Covenanter Dr,2011, ,
Cracker Barrel,,380 N Jacob Dr,2012,Restaurant/Bar,American
Crisis Pregnancy Center,,808 N College Ave,2009,Nonprofit,
Crossstown Cleaners,,915 S College Mall Rd,2011,Retail,Laundry
Crumble Coffee and Bakery,,1567 S Piazza Dr,2016,Restaurant/Bar,Coffee
Cup & Kettle Tea Co.,,208 N. Walnut St., Suite 100,2017,Resturant,Tea Store
CVS,,121 E. Kirkwood Ave.,2016,Pharmacy,
Dagwoods Deli and Sub Shop,,116 S Indiana Ave,2011,Restaurant/Bar,Sandwiches
