Estación,Título,latitud,longitud,Fecha Solar (UTC),SO2,NO,NO2,CO,PM10,O3,dd,vv,TMP,HR,PRB,RS,LL,BEN,TOL,MXIL,PM25
"1","Estación Avenida Constitución","43.529806","-5.673428","2018-10-10T13:00:00","3","17","45","0.27","","51","352","0.85","22.8","37","1002","217","0","0.65","3.42","2.07",""
"1","Estación Avenida Constitución","43.529806","-5.673428","2018-10-10T12:00:00","4","18","43","0.28","18","48","320","0.49","24.3","34","1002","480","0","0.57","1.78","0.9","7"
"1","Estación Avenida Constitución","43.529806","-5.673428","2018-10-10T11:00:00","3","16","35","0.18","21","55","194","0.44","24.1","35","1002","536","0","0.67","3.21","2.97","9"
"1","Estación Avenida Constitución","43.529806","-5.673428","2018-10-10T10:00:00","4","37","54","0.3","21","28","293","0.16","21.1","46","1002","420","0","1.54","10.8","13.8","10"
"1","Estación Avenida Constitución","43.529806","-5.673428","2018-10-10T09:00:00","5","58","59","0.36","28","12","299","0.14","16.7","58","1003","283","0","1.46","7.09","4.87","15"
"1","Estación Avenida Constitución","43.529806","-5.673428","2018-10-10T08:00:00","6","66","64","0.44","22","7","273","0.11","13.1","65","1003","126","0","1.15","5.52","3.81","8"
"1","Estación Avenida Constitución","43.529806","-5.673428","2018-10-10T07:00:00","8","142","72","0.75","23","3","246","0.11","11.6","71","1003","54","0","2.33","14.4","8.8","17"
"1","Estación Avenida Constitución","43.529806","-5.673428","2018-10-10T06:00:00","7","112","59","0.71","26","3","168","0.1","11.5","73","1003","54","0","1.41","10.3","5.26","16"
"1","Estación Avenida Constitución","43.529806","-5.673428","2018-10-10T05:00:00","3","46","46","0.44","16","2","132","0.1","11.6","77","1004","54","0","1.07","7.86","3.97","11"
"1","Estación Avenida Constitución","43.529806","-5.673428","2018-10-10T04:00:00","3","24","34","0.4","13","5","145","0.11","11.9","79","1004","54","0","0.78","5.55","2.29","9"
"1","Estación Avenida Constitución","43.529806","-5.673428","2018-10-10T03:00:00","2","5","23","0.3","17","13","146","0.13","12.2","80","1005","54","0","0.66","4.79","2.06","2"
"1","Estación Avenida Constitución","43.529806","-5.673428","2018-10-10T02:00:00","3","10","28","0.3","14","8","163","0.1","12.5","80","1005","55","0","0.76","5.16","2.25","11"
"1","Estación Avenida Constitución","43.529806","-5.673428","2018-10-10T01:00:00","3","7","30","0.35","15","9","181","0.12","12.9","81","1006","55","0","0.81","4.17","2.05","14"
"1","Estación Avenida Constitución","43.529806","-5.673428","2018-10-10T00:00:00","2","9","33","0.39","25","8","157","0.1","12.8","84","1007","55","0","0.78","4.34","2.15","15"
"1","Estación Avenida Constitución","43.529806","-5.673428","2018-10-09T23:00:00","3","11","33","0.48","24","9","168","0.1","13.3","84","1007","55","0","0.93","4.98","2.75","17"
"1","Estación Avenida Constitución","43.529806","-5.673428","2018-10-09T22:00:00","2","10","40","0.58","30","9","190","0.11","13.6","85","1007","55","0","1.06","6.67","4.55","14"
"1","Estación Avenida Constitución","43.529806","-5.673428","2018-10-09T21:00:00","3","20","53","0.55","43","9","234","0.1","14.4","83","1008","55","0","1.02","5.22","7.9","31"
"1","Estación Avenida Constitución","43.529806","-5.673428","2018-10-09T20:00:00","2","11","44","0.32","16","22","185","0.11","15.1","80","1008","55","0","0.59","2.46","1.28","5"
"1","Estación Avenida Constitución","43.529806","-5.673428","2018-10-09T19:00:00","2","8","34","0.29","22","44","165","0.16","16.2","75","1008","55","0","0.63","3.03","1.86","3"
"1","Estación Avenida Constitución","43.529806","-5.673428","2018-10-09T18:00:00","3","9","35","0.23","21","51","359","0.81","17","71","1008","55","0","0.79","3.42","2.22","6"
"1","Estación Avenida Constitución","43.529806","-5.673428","2018-10-09T17:00:00","2","10","29","0.21","25","59","360","1.02","17.6","67","1009","125","0","0.47","1.8","1.2","6"
"1","Estación Avenida Constitución","43.529806","-5.673428","2018-10-09T16:00:00","3","11","27","0.19","24","61","18","1.19","18.9","60","1009","319","0","0.55","2.22","1.22","6"
"1","Estación Avenida Constitución","43.529806","-5.673428","2018-10-09T15:00:00","3","13","27","0.18","22","57","347","1.07","18.8","59","1010","437","0","0.55","1.74","0.75","3"
"1","Estación Avenida Constitución","43.529806","-5.673428","2018-10-09T14:00:00","4","11","21","0.15","16","63","15","1.74","18.2","61","1010","521","0","0.6","2.25","1.15","2"
"1","Estación Avenida Constitución","43.529806","-5.673428","2018-10-09T13:00:00","3","14","27","0.18","23","56","19","1.52","18.1","64","1011","569","0","0.64","3.12","1.97","7"
"1","Estación Avenida Constitución","43.529806","-5.673428","2018-10-09T12:00:00","4","11","23","0.15","17","59","19","1.83","18","62","1012","565","0","0.55","2.25","1.79","10"
"1","Estación Avenida Constitución","43.529806","-5.673428","2018-10-09T11:00:00","4","22","29","0.36","24","34","357","0.38","17","67","1013","503","0","0.68","3.92","3.32","13"
"1","Estación Avenida Constitución","43.529806","-5.673428","2018-10-09T10:00:00","5","35","26","0.23","14","16","312","0.15","14.9","80","1013","407","0","0.68","2.19","2.32","11"
